source_entity	source_field	target_entity	target_field	coverage_source	overlap	cardinality
billing_document_cancellations	billingDocument	billing_document_headers	billingDocument	1.000	80	1:1_or_N:1
billing_document_cancellations	soldToParty	business_partner_addresses	businessPartner	1.000	4	N:1
billing_document_cancellations	soldToParty	business_partners	businessPartner	1.000	4	N:1
billing_document_cancellations	soldToParty	customer_company_assignments	customer	1.000	4	N:1
billing_document_cancellations	accountingDocument	journal_entry_items_accounts_receivable	accountingDocument	0.800	64	1:1_or_N:1
billing_document_cancellations	accountingDocument	payments_accounts_receivable	accountingDocument	0.800	64	1:1_or_N:1
billing_document_headers	soldToParty	business_partner_addresses	businessPartner	1.000	4	N:1
billing_document_headers	soldToParty	business_partners	businessPartner	1.000	4	N:1
billing_document_headers	soldToParty	customer_company_assignments	customer	1.000	4	N:1
billing_document_headers	cancelledBillingDocument	billing_document_cancellations	billingDocument	0.988	80	N:1
billing_document_headers	accountingDocument	journal_entry_items_accounts_receivable	accountingDocument	0.755	123	1:1_or_N:1
billing_document_headers	accountingDocument	payments_accounts_receivable	accountingDocument	0.736	120	1:1_or_N:1
billing_document_headers	billingDocument	billing_document_cancellations	billingDocument	0.491	80	1:1_or_N:1
billing_document_items	billingDocument	billing_document_headers	billingDocument	1.000	163	N:1
billing_document_items	material	product_descriptions	product	1.000	55	N:1
billing_document_items	material	products	product	1.000	55	N:1
billing_document_items	referenceSdDocument	outbound_delivery_headers	deliveryDocument	1.000	83	N:1
billing_document_items	billingDocument	billing_document_cancellations	billingDocument	0.491	80	N:1
business_partner_addresses	businessPartner	business_partners	businessPartner	1.000	8	1:1_or_N:1
business_partner_addresses	businessPartner	customer_company_assignments	customer	1.000	8	1:1_or_N:1
business_partners	businessPartner	business_partner_addresses	businessPartner	1.000	8	1:1_or_N:1
business_partners	businessPartner	customer_company_assignments	customer	1.000	8	1:1_or_N:1
business_partners	customer	business_partner_addresses	businessPartner	1.000	8	1:1_or_N:1
business_partners	customer	customer_company_assignments	customer	1.000	8	1:1_or_N:1
customer_company_assignments	customer	business_partner_addresses	businessPartner	1.000	8	1:1_or_N:1
customer_company_assignments	customer	business_partners	businessPartner	1.000	8	1:1_or_N:1
customer_sales_area_assignments	customer	business_partner_addresses	businessPartner	1.000	8	N:1
customer_sales_area_assignments	customer	business_partners	businessPartner	1.000	8	N:1
customer_sales_area_assignments	customer	customer_company_assignments	customer	1.000	8	N:1
journal_entry_items_accounts_receivable	referenceDocument	billing_document_headers	billingDocument	1.000	123	1:1_or_N:1
journal_entry_items_accounts_receivable	customer	business_partner_addresses	businessPartner	1.000	2	N:1
journal_entry_items_accounts_receivable	customer	business_partners	businessPartner	1.000	2	N:1
journal_entry_items_accounts_receivable	customer	customer_company_assignments	customer	1.000	2	N:1
journal_entry_items_accounts_receivable	accountingDocument	payments_accounts_receivable	accountingDocument	0.976	120	1:1_or_N:1
journal_entry_items_accounts_receivable	clearingAccountingDocument	payments_accounts_receivable	accountingDocument	0.727	56	N:1
outbound_delivery_headers	shippingPoint	plants	plant	1.000	5	N:1
outbound_delivery_items	deliveryDocument	outbound_delivery_headers	deliveryDocument	1.000	86	N:1
outbound_delivery_items	plant	plants	plant	1.000	5	N:1
outbound_delivery_items	referenceSdDocument	sales_order_headers	salesOrder	1.000	86	N:1
payments_accounts_receivable	accountingDocument	journal_entry_items_accounts_receivable	accountingDocument	1.000	120	1:1_or_N:1
payments_accounts_receivable	customer	business_partner_addresses	businessPartner	1.000	2	N:1
payments_accounts_receivable	customer	business_partners	businessPartner	1.000	2	N:1
payments_accounts_receivable	customer	customer_company_assignments	customer	1.000	2	N:1
payments_accounts_receivable	clearingAccountingDocument	journal_entry_items_accounts_receivable	accountingDocument	0.737	56	N:1
product_descriptions	product	products	product	1.000	69	1:1_or_N:1
product_plants	product	product_descriptions	product	1.000	69	N:1
product_plants	product	products	product	1.000	69	N:1
product_plants	plant	plants	plant	1.000	44	N:1
product_storage_locations	product	product_descriptions	product	1.000	69	N:1
product_storage_locations	product	products	product	1.000	69	N:1
product_storage_locations	plant	plants	plant	1.000	44	N:1
products	product	product_descriptions	product	1.000	69	1:1_or_N:1
sales_order_headers	soldToParty	business_partner_addresses	businessPartner	1.000	8	N:1
sales_order_headers	soldToParty	business_partners	businessPartner	1.000	8	N:1
sales_order_headers	soldToParty	customer_company_assignments	customer	1.000	8	N:1
sales_order_items	salesOrder	sales_order_headers	salesOrder	1.000	100	N:1
sales_order_items	material	product_descriptions	product	1.000	69	N:1
sales_order_items	material	products	product	1.000	69	N:1
sales_order_items	productionPlant	plants	plant	1.000	7	N:1
sales_order_schedule_lines	salesOrder	sales_order_headers	salesOrder	1.000	100	N:1
